length,highway,geometry
409.19040275524816,primary,"LINESTRING (73.0929614 33.7301924, 73.0930526 33.7306137, 73.0932109 33.7312158, 73.093285 33.7315764, 73.0933133 33.7317913, 73.0933133 33.732084, 73.0931931 33.7324338, 73.0931134 33.7325664, 73.0930387 33.7326907, 73.092355 33.7336438)"
84.25628945173199,primary,"LINESTRING (73.0930269 33.7294417, 73.0929786 33.7295856, 73.0929556 33.7297359, 73.0929486 33.7298431, 73.0929614 33.7301924)"
43.96226750597544,primary,"LINESTRING (73.0930269 33.7294417, 73.0930433 33.7295062, 73.0930829 33.7295632, 73.0931417 33.7296074, 73.0932141 33.7296342, 73.0932928 33.7296412, 73.0933704 33.7296276)"
442.18980292510656,residential,"LINESTRING (73.0817146 33.7417865, 73.0818251 33.7414533, 73.0819571 33.741125, 73.0820537 33.7406834, 73.0820118 33.7403265, 73.0819024 33.7399224, 73.081279 33.738866, 73.0809443 33.7383004, 73.0808005 33.7380739)"
143.52387765995536,primary,"LINESTRING (73.0817146 33.7417865, 73.0810096 33.7415083, 73.0803399 33.7411892)"
475.66079562065454,trunk,"LINESTRING (73.0940784 33.6735276, 73.0935671 33.6725437, 73.0931208 33.6717079, 73.092829 33.6712222, 73.0924856 33.6707007, 73.0922024 33.6703722, 73.0916874 33.6697578)"
155.47262197925176,trunk_link,"LINESTRING (73.0940784 33.6735276, 73.0941036 33.6733252, 73.0941626 33.673227, 73.0942404 33.6731846, 73.0943423 33.6731757, 73.0944818 33.6732136, 73.0945569 33.6732962, 73.0946374 33.673448, 73.0946803 33.6736176, 73.0946884 33.6737516, 73.0946715 33.6739743)"
63.31221015864689,unclassified,"LINESTRING (73.1020746 33.6814862, 73.1024299 33.6809996)"
14.265406251881545,trunk,"LINESTRING (73.1020746 33.6814862, 73.1019454 33.6814162)"
1973.8888767862816,trunk,"LINESTRING (73.1100702 33.6912429, 73.1100798 33.6914017, 73.1101112 33.6918976, 73.1101191 33.6920488, 73.1101977 33.6928023, 73.1102148 33.6933736, 73.1102186 33.6934413, 73.1102404 33.6938298, 73.1102439 33.6938923, 73.1103071 33.6950193, 73.1103578 33.69601, 73.1103779 33.6962801, 73.110438 33.6974226, 73.1104208 33.6979368, 73.1103522 33.6983723, 73.1102577 33.6986865, 73.1101547 33.6989222, 73.1096312 33.6999433, 73.1088673 33.7014786, 73.1083609 33.7025639, 73.1075283 33.7041919, 73.1070648 33.7050131, 73.1069876 33.7051631, 73.1068728 33.7053861, 73.1065653 33.7059097, 73.1060124 33.7069995, 73.1058119 33.7074466, 73.1055882 33.7079635, 73.1055377 33.7080631, 73.105476 33.708168)"
14.827807167464067,trunk_link,"LINESTRING (73.1078436 33.7122081, 73.1079216 33.7120916)"
1144.2503671372756,trunk,"LINESTRING (73.1078436 33.7122081, 73.1104633 33.7134083, 73.1108453 33.7135789, 73.1113085 33.7138238, 73.1116469 33.7140662, 73.1119452 33.7142837, 73.1122863 33.7145279, 73.1125099 33.714672, 73.1129322 33.7149211, 73.1135535 33.7152653, 73.1140488 33.7155357, 73.1154373 33.7163357, 73.1158242 33.7165849, 73.1161916 33.7167909, 73.1168756 33.7171895, 73.1175702 33.7175543, 73.1181429 33.7178701)"
46.653313057702924,trunk,"LINESTRING (73.105019 33.7088904, 73.1051279 33.7089636, 73.1051933 33.7090096, 73.1052373 33.7090498, 73.1052738 33.7090879, 73.1052941 33.7091146, 73.1053051 33.7091325, 73.1053203 33.7091649, 73.1053277 33.7091871, 73.1053321 33.709206)"
298.60152183022416,primary,"LINESTRING (73.105019 33.7088904, 73.1048494 33.7091322, 73.1045743 33.7095544, 73.104486 33.7096911, 73.1043934 33.7098339, 73.1039996 33.7104703, 73.103726 33.7109251, 73.1035491 33.7112319, 73.1035266 33.7112708)"
382.6236916358871,trunk,"LINESTRING (73.1219817 33.7188731, 73.1222464 33.7188465, 73.123734 33.7187203, 73.1243115 33.718724, 73.124548 33.718749, 73.1247906 33.7188117, 73.1250238 33.7188855, 73.1252546 33.7189779, 73.1255112 33.7191101, 73.1259296 33.7193341)"
181.91996940458358,trunk,"LINESTRING (72.9315866 33.6347241, 72.9311391 33.6349475, 72.9308718 33.6350922, 72.9306575 33.6352291, 72.930354 33.6354641, 72.9300271 33.6357091)"
276.98249537183017,unclassified,"LINESTRING (72.9315866 33.6347241, 72.9314553 33.6345437, 72.931337 33.6344284, 72.9312052 33.6343862, 72.9310498 33.6342961, 72.9309214 33.6340823, 72.9306747 33.6336406, 72.9305767 33.633438, 72.9304673 33.6332586, 72.9304354 33.6332427, 72.9303758 33.6332409, 72.9303013 33.6332373, 72.9302672 33.6332178, 72.9302438 33.6331877, 72.9301969 33.6330672, 72.9301778 33.6330317, 72.9301373 33.6330122, 72.9300735 33.6330105, 72.9297894 33.633018)"
31.69092079659505,trunk,"LINESTRING (72.9300271 33.6357091, 72.9298066 33.6359271)"
294.8053605467106,residential,"LINESTRING (72.9300271 33.6357091, 72.9296982 33.6354532, 72.9296245 33.6353691, 72.9290687 33.6343841, 72.9290106 33.6342308, 72.9289928 33.6341005, 72.9289962 33.6339446, 72.9290218 33.6337106, 72.9290476 33.6333099)"
391.0284376634972,trunk,"LINESTRING (72.9086666 33.6519551, 72.9080532 33.6524082, 72.9075921 33.6528519, 72.9075109 33.6529247, 72.9072805 33.6531313, 72.907057 33.6533316, 72.9063935 33.6539266, 72.9059609 33.6542425, 72.9056993 33.6544335, 72.9056883 33.6544415)"
